game,id,hours,last_played,steam_deck,metascore,userscore,wilsonscore,sdbrating,userscore_count,release_date,win,mac,linux,steam deck,captions available,co-op,co-op any,commentary available,controller support any,cross-platform multiplayer,downloadable content,early access,family sharing,full controller support,geforce now,has_demo,hdr available,in-app purchases,includes level editor,includes source sdk,lan co-op,lan pvp,mmo,mods,multi-player,multiplayer any,online co-op,online pvp,partial controller support,profile features limited,ps4 controllers,ps5 controllers,pvp,remote play any,remote play on phone,remote play on tablet,remote play on tv,remote play together,shared/split screen,shared/split screen co-op,shared/split screen pvp,single-player,stats,steam achievements,steam cloud,steam input api,steam leaderboards,steam timeline,steam trading cards,steam turn notifications,steam workshop,steamvr collectibles,tracked controller support,wsgf 4k,wsgf mm,wsgf uw,wsgf ws,vr any,vr only,vr supported,adjustable difficulty,adjustable text size,camera comfort,chat speech-to-text,chat text-to-speech,color alternatives,contrast controls,custom volume controls,keyboard only option,mouse only option,narrated game menus,playable at your own pace,playable without quick time events,playable without vision,save anytime,stereo sound,subtitle options,surround sound,touch only option,afrikaans,albanian,amharic,arabic,armenian,assamese,azerbaijani,bangla,basque,belarusian,bosnian,bulgarian,catalan,cherokee,croatian,czech,danish,dari,dutch,english,estonian,filipino,finnish,french,galician,georgian,german,greek,gujarati,hausa,hebrew,hindi,hungarian,icelandic,igbo,indonesian,irish,italian,japanese,k'iche',kannada,kazakh,khmer,kinyarwanda,konkani,korean,kyrgyz,latvian,lithuanian,luxembourgish,macedonian,malay,malayalam,maltese,maori,marathi,mongolian,nepali,norwegian,odia,persian,polish,portuguese - brazil,portuguese - portugal,punjabi (gurmukhi),punjabi (shahmukhi),quechua,romanian,russian,scots,serbian,simplified chinese,sindhi,sinhala,slovak,slovenian,sorani,sotho,spanish,spanish - latin america,spanish - spain,swahili,swedish,tajik,tamil,tatar,telugu,thai,tigrinya,traditional chinese,tswana,turkish,turkmen,ukrainian,urdu,uyghur,uzbek,valencian,vietnamese,welsh,wolof,xhosa,yoruba,zulu,1980s,1990's,2.5d,2d,2d fighter,2d platformer,360 video,3d,3d fighter,3d platformer,4 player local,4x,6dof,abstract,action,action roguelike,action rpg,action rts,action-adventure,addictive,adventure,agriculture,aliens,alternate history,animals,animation & modeling,anime,arcade,archery,arena shooter,artificial intelligence,assassins,asymmetric vr,asynchronous multiplayer,atmospheric,atv,audio production,auto battler,automation,automobile sim,base building,baseball,based on a novel,basketball,battle royale,beat 'em up,beautiful,benchmark,bikes,birds,bmx,board game,boomer shooter,boss rush,bowling,boxing,building,bullet heaven,bullet hell,bullet time,capitalism,capybaras,card battler,card game,cartoon,cartoony,casual,cats,character action game,character customization,chess,choices matter,choose your own adventure,cinematic,city builder,class-based,classic,cleaning,co-op,co-op campaign,cold war,collectathon,colony sim,colorful,combat,combat racing,comedy,comic book,competitive,conspiracy,controller,cooking,cozy,crafting,creature collector,crime,crpg,cult,cute,cyberpunk,cycling,dark,dark comedy,dark fantasy,dark humor,dating sim,deckbuilding,decorating,demons,design & illustration,destruction,detective,dialogue heavy,dice,difficult,dinosaurs,diplomacy,dogs,dragons,driving,dungeon crawler,dwarves,dynamic narration,dystopian,early access,economy,education,elves,emotional,epic,episodic,escape room,espionage,esports,experimental,exploration,extraction shooter,faith,family friendly,fantasy,farming,farming sim,fast-paced,female protagonist,fighting,first-person,fishing,flight,fmv,football (american),football (soccer),foxes,fps,free to play,funny,futuristic,gambling,game development,gaming,god game,golf,gore,gothic,grand strategy,great soundtrack,grid-based movement,gun customization,hack and slash,hacking,hand-drawn,hardware,heist,hentai,hero shooter,hex grid,hidden object,historical,hobby sim,horror,horses,hunting,idler,immersive,immersive sim,incremental,indie,instrumental music,intentionally awkward controls,interactive fiction,inventory management,investigation,isometric,job simulator,jrpg,jump scare,language learning,lemmings,level editor,lgbtq+,life sim,linear,local co-op,local multiplayer,logic,loot,looter shooter,lore-rich,lovecraftian,magic,management,mars,martial arts,massively multiplayer,match 3,mature,mechs,medical sim,medieval,memes,metroidvania,military,mini golf,minigames,minimalist,mining,mmorpg,moba,mod,moddable,modern,motocross,motorbike,mouse only,multiplayer,multiple endings,music,music-based procedural generation,musou,mystery,mystery dungeon,mythology,narrative,nature,naval,naval combat,ninja,noir,nonlinear,nostalgia,nudity,offroad,old school,on-rails shooter,online co-op,open world,open world survival craft,organizing,otome,outbreak sim,parkour,parody,party,party game,party-based rpg,perma death,philosophical,photo editing,physics,pinball,pirates,pixel graphics,platformer,point & click,poker,political sim,post-apocalyptic,precision platformer,procedural generation,programming,psychedelic,psychological,psychological horror,puzzle,puzzle platformer,pve,pvp,quick-time events,racing,real time tactics,real-time,real-time with pause,realistic,reboot,relaxing,remake,replay value,resource management,retro,rhythm,robots,rock music,roguelike,roguelike deckbuilder,roguelite,romance,rome,rpg,rts,runner,sailing,samurai,sandbox,satire,sci-fi,science,score attack,sequel,sexual content,shoot 'em up,shooter,shop keeper,short,side scroller,silent protagonist,simulation,singleplayer,skateboarding,skating,skiing,sniper,snow,snowboarding,social deduction,software,sokoban,solitaire,souls-like,soundtrack,space,space sim,spaceships,spectacle fighter,split screen,sports,stealth,steampunk,story rich,strategy,strategy rpg,stylized,submarine,superhero,supernatural,surreal,survival,survival horror,swordplay,tabletop,tactical,tactical rpg,tanks,team-based,text-based,third person,third-person shooter,thriller,time attack,time management,time manipulation,time travel,top-down,top-down shooter,touch-friendly,tower defense,trackir,trading,trading card game,traditional roguelike,trains,transhumanism,transportation,trivia,turn-based,turn-based combat,turn-based strategy,turn-based tactics,tutorial,twin stick shooter,typing,underground,underwater,utilities,vampires,vehicular combat,video production,vikings,villain protagonist,violent,visual novel,voice control,voxel,vr,walking simulator,war,wargame,werewolves,western,wholesome,wolves,word game,world war i,world war ii,wrestling,wuxia,xianxia,zombies,zoo
The Textorcist: The Story of Ray Bibbia,940680,,,unknown,78,85,83,81,1165,2019-02-14,x,x,,,,,,,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Thaumaturge,1684350,,,unknown,,83,81,79,1645,2024-03-04,x,,,,,,,,x,,,,x,x,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,x,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
The Uncertain: Last Quiet Day,406970,,,unknown,,76,74,73,1680,2016-09-22,x,,,,,,,,x,,,,x,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,x,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,x,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
The Unfolding Engine: Paint a Game,884350,0.18333333333333332,,unknown,,79,64,69,29,2018-12-03,x,,,,,,,x,x,,,x,x,,,,,,x,,,,,,,,,,x,x,,,,,,,,,,,,x,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Universim,352720,,,unknown,,79,78,77,5143,2024-01-22,x,x,x,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,x,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,x,,x,x,,,,,,,,,,x,x,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Walking Dead,207610,,,unknown,82,97,97,95,24992,2012-04-24,x,x,,,,,,,x,,,,x,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,
The Walking Dead: A New Frontier,536220,,,unknown,81,77,76,75,6061,2016-12-20,x,,,,,,,,x,,,,x,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,x,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,x,
The Walking Dead: Season Two,261030,,,unknown,80,95,95,92,13004,2013-12-17,x,x,,,,,,,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
The Walking Dead: The Final Season,866800,,,unknown,77,93,92,90,6507,2018-08-14,x,,,,,,,,x,,,,x,x,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,x,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,
The Walking Dead: The Telltale Definitive Series,1449690,,,unknown,,97,97,94,13624,2020-10-29,x,,,,,,,,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,x,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,
The Wandering Village,1121640,,,unknown,,92,91,89,4020,2025-07-17,x,x,x,,,,,,x,,,,x,x,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,x,,x,x,,,,x,,,,,,,,,,,,x,x,,,,,,x,,,,,x,,x,x,,,,,,,x,,,,,,,,,,,,,,,,x,,,,x,,,x,,,,,,,,,,,x,x,,,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,x,,,x,,,,,,,,,x,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,x,,,,,x,,,,,,x,,,,x,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wild at Heart,1093290,,,unknown,76,95,93,89,722,2021-05-19,x,x,,,,,,,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,x,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,x,,x,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wild Eight,526160,,,unknown,,68,66,66,1790,2019-10-03,x,,,,x,,x,,x,,,,x,x,x,,,,,,,,,,,x,x,,,,,,,x,,,x,,,,,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,x,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,x,,,x,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Witch of Fern Island,1550010,,,unknown,,69,66,66,700,2024-02-27,x,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Witcher 2: Assassins of Kings Enhanced Edition,20920,,,unknown,88,87,87,85,26131,2011-05-17,x,x,x,,,,,,x,,,,x,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,x,x,,x,,x,,,,,,x,x,x,,,,x,,x,,,x,,x,,,,,x,,x,x,,x,,,,,,,,,,,,,,,,,x,,,,x,,,,x,,,x,,,,,,x,,,,,x,x,,,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,x,,,,,,,,,,,,x,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,x,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Witcher 3: Wild Hunt - Complete Edition,292030,49.15,,unknown,93,96,96,95,241692,2015-05-18,x,,,,,,,,x,,,,x,,x,,x,,,,,,,,,,,,x,,,,,x,,x,x,,,,,x,,x,x,,,,x,,x,,,x,x,x,x,,,,x,x,x,,,x,,x,,,,,x,,x,x,,x,,,,,x,,,,,,,,,,,,x,,,,x,,,,x,,,x,,,,,,x,,,,,x,x,,,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,x,,,x,,,,,,,,x,x,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
